Country,Countryid,Device,Delta,,rho0,rho0se,,rho1,rho1se,noobs,Threshold,Transactioncost
AE,1,iPad Mini,12,0,3.095,0.665,1,-0.184,0.03,302,0.0026,0.033280255
AT,2,iPad Mini,12,0,-0.043,0.048,1,-0.712,0.055,302,0.1055,0.2
AU,3,iPad Mini,12,0,0.249,0.102,1,-0.516,0.043,302,0.0443,0.1
BE,4,iPad Mini,12,0,-0.085,0.049,1,-0.681,0.058,302,0.1018,0.21
BR,5,iPad Mini,12,0,0.495,0.132,1,-0.159,0.039,302,0.0998,0.2925
CA,6,iPad Mini,12,0,-0.112,0.053,1,-0.486,0.043,302,0.0775,0.05
CZ,7,iPad Mini,12,0,1.921,0.474,1,-0.381,0.042,302,0.024,0.21
DE,8,iPad Mini,12,0,0.249,0.078,1,-0.684,0.047,302,0.1018,0.19
DK,9,iPad Mini,12,0,0.042,0.081,1,-0.385,0.043,302,0.0617,0.25
ES,10,iPad Mini,12,0,-0.067,0.048,1,-0.679,0.056,302,0.1125,0.21
FI,11,iPad Mini,12,0,-0.132,0.055,1,-0.584,0.059,302,0.0953,0.24
FR,12,iPad Mini,12,0,-0.078,0.049,1,-0.69,0.058,302,0.1019,0.2
HK,13,iPad Mini,12,0,0.084,0.032,1,-0.193,0.029,302,0.0219,0
HU,14,iPad Mini,12,0,0.136,0.182,1,-0.317,0.043,302,0.043,0.27
IE,15,iPad Mini,12,0,-0.06,0.073,1,-0.486,0.05,302,0.0661,0.23
IT,16,iPad Mini,12,0,-0.085,0.049,1,-0.681,0.058,302,0.1018,0.22
JP,17,iPad Mini,12,0,-0.293,0.107,1,-0.638,0.056,302,0.0444,0
KR,18,iPad Mini,12,0,0.346,0.177,1,-0.263,0.038,302,0.0273,0.1
LU,19,iPad Mini,12,0,-0.085,0.049,1,-0.681,0.058,302,0.1019,0.17
MX,20,iPad Mini,12,0,-0.064,0.16,1,-0.473,0.042,302,0.0574,0.16
MY,21,iPad Mini,12,0,-0.02,0.052,1,-0.751,0.053,302,0.141,0.082038217
NL,22,iPad Mini,12,0,-0.087,0.049,1,-0.678,0.058,302,0.1019,0.21
NO,23,iPad Mini,12,0,-0.171,0.059,1,-0.639,0.061,302,0.0937,0.25
NZ,24,iPad Mini,12,0,-0.053,0.129,1,-0.517,0.051,302,0.0372,0.15
PH,25,iPad Mini,12,0,-0.036,0.048,1,-0.732,0.057,302,0.065,0.12
PL,26,iPad Mini,12,0,0.701,0.296,1,-0.336,0.041,302,0.0325,0.23
PT,27,iPad Mini,12,0,-0.132,0.055,1,-0.584,0.059,302,0.0953,0.23
RU,28,iPad Mini,12,0,0.293,0.144,1,-0.702,0.048,302,0.0427,0.19
SE,29,iPad Mini,12,0,-0.096,0.045,1,-0.591,0.058,302,0.1282,0.25
SG,30,iPad Mini,12,0,-0.339,0.075,1,-0.6,0.057,302,0.0347,0.07
TH,31,iPad Mini,12,0,0.163,0.119,1,-0.427,0.041,302,0.0352,0.07
TR,32,iPad Mini,12,0,-0.435,0.077,1,-0.989,0.079,302,0.1294,0.18
TW,33,iPad Mini,12,0,-0.089,0.042,1,-0.425,0.043,302,0.0719,0.05
UK,34,iPad Mini,12,0,-0.049,0.047,1,-0.622,0.053,302,0.121,0.2
AE,1,iPad Pro Large,24,0,1.893,0.182,1,-0.271,0.031,290,0.0117,0.033280255
AT,2,iPad Pro Large,24,0,-0.262,0.09,1,-0.826,0.064,290,0.0469,0.2
AU,3,iPad Pro Large,24,0,-0.439,0.07,1,-1.189,0.079,290,0.0855,0.1
BE,4,iPad Pro Large,24,0,-0.196,0.094,1,-0.874,0.063,290,0.045,0.21
BR,5,iPad Pro Large,24,0,-0.236,0.072,1,-0.751,0.067,290,0.1396,0.2925
CA,6,iPad Pro Large,24,0,-1.925,0.245,1,-0.495,0.049,290,0.0253,0.05
CZ,7,iPad Pro Large,24,0,0.867,0.326,1,-0.58,0.051,290,0.0275,0.21
DE,8,iPad Pro Large,24,0,-0.265,0.092,1,-0.839,0.065,290,0.0466,0.19
DK,9,iPad Pro Large,24,0,-0.193,0.099,1,-0.963,0.066,290,0.0456,0.25
ES,10,iPad Pro Large,24,0,-0.29,0.089,1,-0.809,0.065,290,0.0475,0.21
FI,11,iPad Pro Large,24,0,-0.393,0.08,1,-0.944,0.073,290,0.0531,0.24
FR,12,iPad Pro Large,24,0,-0.196,0.094,1,-0.874,0.063,290,0.045,0.2
HK,13,iPad Pro Large,24,0,0.044,0.023,1,-1.076,0.047,290,0.0306,0
HU,14,iPad Pro Large,24,0,-0.635,0.078,1,-0.965,0.087,290,0.0751,0.27
IE,15,iPad Pro Large,24,0,-0.304,0.09,1,-0.877,0.066,290,0.0455,0.23
IT,16,iPad Pro Large,24,0,-0.152,0.1,1,-0.859,0.061,290,0.0422,0.22
JP,17,iPad Pro Large,24,0,-0.729,0.082,1,-1.285,0.076,290,0.0929,0
KR,18,iPad Pro Large,24,0,-1.479,0.179,1,-0.858,0.058,290,0.0266,0.1
LU,19,iPad Pro Large,24,0,-0.147,0.095,1,-0.866,0.062,290,0.0439,0.17
MX,20,iPad Pro Large,24,0,-0.374,0.073,1,-1.018,0.074,290,0.0933,0.16
MY,21,iPad Pro Large,24,0,-1.454,0.083,1,-0.963,0.064,290,0.0543,0.082038217
NL,22,iPad Pro Large,24,0,-0.172,0.094,1,-0.879,0.063,290,0.0446,0.21
NO,23,iPad Pro Large,24,0,-0.245,0.1,1,-0.68,0.062,290,0.0736,0.25
NZ,24,iPad Pro Large,24,0,-0.481,0.1,1,-1.005,0.068,290,0.0609,0.15
PH,25,iPad Pro Large,24,0,0.517,0.094,1,-0.711,0.046,290,0.0561,0.12
PL,26,iPad Pro Large,24,0,-0.392,0.076,1,-0.726,0.073,290,0.0843,0.23
PT,27,iPad Pro Large,24,0,-0.366,0.079,1,-0.943,0.072,290,0.0534,0.23
RU,28,iPad Pro Large,24,0,-0.741,0.09,1,-1.029,0.063,290,0.0801,0.19
SE,29,iPad Pro Large,24,0,-0.869,0.083,1,-0.484,0.071,290,0.0719,0.25
SG,30,iPad Pro Large,24,0,-1.493,0.171,1,-0.857,0.058,290,0.0171,0.07
TH,31,iPad Pro Large,24,0,0.236,0.212,1,-0.919,0.071,290,0.0236,0.07
TR,32,iPad Pro Large,24,0,2.681,1.031,1,-1.205,0.06,290,0.0181,0.18
TW,33,iPad Pro Large,24,0,-0.117,0.126,1,-0.486,0.054,290,0.033,0.05
UK,34,iPad Pro Large,24,0,-0.191,0.126,1,-0.856,0.06,290,0.046,0.2
AE,1,iPad Pro Small,24,0,-0.621,0.047,1,-0.04,0.047,278,0.0277,0.033280255
AT,2,iPad Pro Small,24,0,-0.342,0.075,1,-0.914,0.076,278,0.053,0.2
AU,3,iPad Pro Small,24,0,-0.373,0.079,1,-1.061,0.075,278,0.0779,0.1
BE,4,iPad Pro Small,24,0,-0.159,0.082,1,-0.934,0.066,278,0.0495,0.21
BR,5,iPad Pro Small,24,0,-0.206,0.069,1,-0.658,0.057,278,0.1378,0.2925
CA,6,iPad Pro Small,24,0,-1.48,0.158,1,-0.409,0.05,278,0.0356,0.05
CZ,7,iPad Pro Small,24,0,0.134,0.166,1,-0.586,0.054,278,0.0441,0.21
DE,8,iPad Pro Small,24,0,-3.876,0.915,1,-0.623,0.055,278,0.0114,0.19
DK,9,iPad Pro Small,24,0,-0.415,0.07,1,-0.938,0.085,278,0.0688,0.25
ES,10,iPad Pro Small,24,0,-0.242,0.091,1,-0.82,0.066,278,0.0478,0.21
FI,11,iPad Pro Small,24,0,-0.19,0.081,1,-0.932,0.067,278,0.0493,0.24
FR,12,iPad Pro Small,24,0,-0.147,0.087,1,-0.926,0.065,278,0.0475,0.2
HK,13,iPad Pro Small,24,0,0.083,0.039,1,-0.895,0.054,278,0.0307,0
HU,14,iPad Pro Small,24,0,-0.696,0.06,1,,,278,,0.27
IE,15,iPad Pro Small,24,0,-0.052,0.097,1,-0.842,0.061,278,0.0415,0.23
IT,16,iPad Pro Small,24,0,-0.101,0.089,1,-0.898,0.063,278,0.0468,0.22
JP,17,iPad Pro Small,24,0,-0.803,0.059,1,,,278,,0
KR,18,iPad Pro Small,24,0,-2.445,0.23,1,-0.82,0.059,278,0.0214,0.1
LU,19,iPad Pro Small,24,0,-0.159,0.082,1,-0.934,0.066,278,0.0495,0.17
MX,20,iPad Pro Small,24,0,-0.465,0.084,1,-1.074,0.074,278,0.0845,0.16
MY,21,iPad Pro Small,24,0,0.22,0.2,1,-0.945,0.056,278,0.0239,0.082038217
NL,22,iPad Pro Small,24,0,-0.161,0.083,1,-0.932,0.066,278,0.0493,0.21
NO,23,iPad Pro Small,24,0,-0.273,0.062,1,-1.047,0.073,278,0.0852,0.25
NZ,24,iPad Pro Small,24,0,-0.585,0.082,1,-1.038,0.08,278,0.0806,0.15
PH,25,iPad Pro Small,24,0,-0.028,0.055,1,-1.106,0.063,278,0.0751,0.12
PL,26,iPad Pro Small,24,0,-0.35,0.083,1,-0.738,0.074,278,0.0748,0.23
PT,27,iPad Pro Small,24,0,-0.19,0.081,1,-0.932,0.067,278,0.0493,0.23
RU,28,iPad Pro Small,24,0,-8.639,2.6,1,-0.794,0.059,278,0.009,0.19
SE,29,iPad Pro Small,24,0,0.313,0.397,1,-0.7,0.057,278,0.0254,0.25
SG,30,iPad Pro Small,24,0,-1.473,0.177,1,-0.815,0.062,278,0.018,0.07
TH,31,iPad Pro Small,24,0,2.653,0.512,1,-0.783,0.062,278,0.0125,0.07
TR,32,iPad Pro Small,24,0,1.147,0.723,1,-1.22,0.062,278,0.023,0.18
TW,33,iPad Pro Small,24,0,-0.668,0.058,1,,,278,,0.05
UK,34,iPad Pro Small,24,0,-0.128,0.141,1,-0.75,0.06,278,0.0428,0.2
AE,1,iPad,24,0,-1.467,0.157,1,-0.194,0.029,290,0.0173,0.033280255
AT,2,iPad,24,0,0.385,0.1,1,-0.831,0.044,290,0.0658,0.2
AU,3,iPad,24,0,-0.358,0.063,1,-0.933,0.06,290,0.0839,0.1
BE,4,iPad,24,0,-0.128,0.067,1,-0.923,0.054,290,0.1022,0.21
BR,5,iPad,24,0,-0.698,0.066,1,-1.135,0.074,290,0.1514,0.2925
CA,6,iPad,24,0,0.398,0.179,1,-0.785,0.038,290,0.0347,0.05
CZ,7,iPad,24,0,0.009,0.096,1,-0.899,0.054,290,0.0895,0.21
